"","Aphidius_gifuensis","Chelonus_insularis","Microplitis_demolitor","Bombus_vancouverensis_nearcticus","Bombus_vosnesenskii","Megachile_rotundata","Osmia_bicornis","Osmia_lignaria","Polistes_canadensis_canadensis","Polistes_fuscatus","Polistes_dominula","Vespa_crabro","Vespa_velutina","Vespula_pensylvanica","Camponotus_floridanus","Formica_exsecta","Nylanderia_fulva","Monomorium_pharaonis","Pogonomyrmex_barbatus","Ooceraea_biroi","Athalia_rosa","Diprion_similis","Neodiprion_fabricii","Neodiprion_virginiana","Aethina_tumida","Tribolium_madens","Anoplophora_glabripennis","Diabrotica_virgifera_virgifera","Anthonomus_grandis","Dendroctonus_ponderosae","Platypus_cylindrus","Agrilus_planipennis","Drosophila_subpulchrella","Drosophila_erecta","Drosophila_yakuba","Drosophila_mauritiana","Drosophila_simulans","Drosophila_melanogaster","Drosophila_pseudoobscura","Lucilia_cuprina","Blattella_germanica","Cryptotermes_secundus","Zootermopsis_nevadensis","Schistocerca_nitens","Schistocerca_serialis","Schistocerca_gregaria","Ischnura_elegans","Pantala_flavescens"
"Aphidius_gifuensis",0,57.414564295,57.414564295,118.458372145,118.458372145,118.458372149,118.458372149,118.458372149,118.4583721485,118.4583721485,118.458372145,118.45837215,118.45837215,118.45837215,118.458372145,118.4583721425,118.4583721425,118.458372145,118.458372145,118.458372145,150.620434735,150.620434733,150.620434733,150.620434733,176.112189575,176.112189575,176.11218958,176.11218958,176.11218957,176.11218957,176.112189575,176.11218959,221.31386879,221.313868789,221.313868789,221.31386879,221.31386879,221.31386879,221.31386879,221.31386879,247.852286185,247.8522862,247.8522862,247.852286185,247.852286185,247.852286185,400.999999999994,400.999999999994
"Chelonus_insularis",57.414564295,0,42.03811468,118.45837214,118.45837214,118.458372144,118.458372144,118.458372144,118.4583721435,118.4583721435,118.45837214,118.458372145,118.458372145,118.458372145,118.45837214,118.4583721375,118.4583721375,118.45837214,118.45837214,118.45837214,150.62043473,150.620434728,150.620434728,150.620434728,176.11218957,176.11218957,176.112189575,176.112189575,176.112189565,176.112189565,176.11218957,176.112189585,221.313868785,221.313868784,221.313868784,221.313868785,221.313868785,221.313868785,221.313868785,221.313868785,247.85228618,247.852286195,247.852286195,247.85228618,247.85228618,247.85228618,400.999999994994,400.999999994994
"Microplitis_demolitor",57.414564295,42.03811468,0,118.45837214,118.45837214,118.458372144,118.458372144,118.458372144,118.4583721435,118.4583721435,118.45837214,118.458372145,118.458372145,118.458372145,118.45837214,118.4583721375,118.4583721375,118.45837214,118.45837214,118.45837214,150.62043473,150.620434728,150.620434728,150.620434728,176.11218957,176.11218957,176.112189575,176.112189575,176.112189565,176.112189565,176.11218957,176.112189585,221.313868785,221.313868784,221.313868784,221.313868785,221.313868785,221.313868785,221.313868785,221.313868785,247.85228618,247.852286195,247.852286195,247.85228618,247.85228618,247.85228618,400.999999994994,400.999999994994
"Bombus_vancouverensis_nearcticus",118.458372145,118.45837214,118.45837214,0,12.89640636,47.477785694,47.477785694,47.477785694,86.9613318635,86.9613318635,86.96133186,86.961331865,86.961331865,86.961331865,99.79649771,99.7964977075,99.7964977075,99.79649771,99.79649771,99.79649771,150.62043474,150.620434738,150.620434738,150.620434738,176.11218958,176.11218958,176.112189585,176.112189585,176.112189575,176.112189575,176.11218958,176.112189595,221.313868795,221.313868794,221.313868794,221.313868795,221.313868795,221.313868795,221.313868795,221.313868795,247.85228619,247.852286205,247.852286205,247.85228619,247.85228619,247.85228619,401.000000004994,401.000000004994
"Bombus_vosnesenskii",118.458372145,118.45837214,118.45837214,12.89640636,0,47.477785694,47.477785694,47.477785694,86.9613318635,86.9613318635,86.96133186,86.961331865,86.961331865,86.961331865,99.79649771,99.7964977075,99.7964977075,99.79649771,99.79649771,99.79649771,150.62043474,150.620434738,150.620434738,150.620434738,176.11218958,176.11218958,176.112189585,176.112189585,176.112189575,176.112189575,176.11218958,176.112189595,221.313868795,221.313868794,221.313868794,221.313868795,221.313868795,221.313868795,221.313868795,221.313868795,247.85228619,247.852286205,247.852286205,247.85228619,247.85228619,247.85228619,401.000000004994,401.000000004994
"Megachile_rotundata",118.458372149,118.458372144,118.458372144,47.477785694,47.477785694,0,41.15979714,41.15979714,86.9613318675,86.9613318675,86.961331864,86.961331869,86.961331869,86.961331869,99.796497714,99.7964977115,99.7964977115,99.796497714,99.796497714,99.796497714,150.620434744,150.620434742,150.620434742,150.620434742,176.112189584,176.112189584,176.112189589,176.112189589,176.112189579,176.112189579,176.112189584,176.112189599,221.313868799,221.313868798,221.313868798,221.313868799,221.313868799,221.313868799,221.313868799,221.313868799,247.852286194,247.852286209,247.852286209,247.852286194,247.852286194,247.852286194,401.000000008994,401.000000008994
"Osmia_bicornis",118.458372149,118.458372144,118.458372144,47.477785694,47.477785694,41.15979714,0,7.98775865,86.9613318675,86.9613318675,86.961331864,86.961331869,86.961331869,86.961331869,99.796497714,99.7964977115,99.7964977115,99.796497714,99.796497714,99.796497714,150.620434744,150.620434742,150.620434742,150.620434742,176.112189584,176.112189584,176.112189589,176.112189589,176.112189579,176.112189579,176.112189584,176.112189599,221.313868799,221.313868798,221.313868798,221.313868799,221.313868799,221.313868799,221.313868799,221.313868799,247.852286194,247.852286209,247.852286209,247.852286194,247.852286194,247.852286194,401.000000008994,401.000000008994
"Osmia_lignaria",118.458372149,118.458372144,118.458372144,47.477785694,47.477785694,41.15979714,7.98775865,0,86.9613318675,86.9613318675,86.961331864,86.961331869,86.961331869,86.961331869,99.796497714,99.7964977115,99.7964977115,99.796497714,99.796497714,99.796497714,150.620434744,150.620434742,150.620434742,150.620434742,176.112189584,176.112189584,176.112189589,176.112189589,176.112189579,176.112189579,176.112189584,176.112189599,221.313868799,221.313868798,221.313868798,221.313868799,221.313868799,221.313868799,221.313868799,221.313868799,247.852286194,247.852286209,247.852286209,247.852286194,247.852286194,247.852286194,401.000000008994,401.000000008994
"Polistes_canadensis_canadensis",118.4583721485,118.4583721435,118.4583721435,86.9613318635,86.9613318635,86.9613318675,86.9613318675,86.9613318675,0,17.97890069,26.8252155635,43.5911010485,43.5911010485,43.5911010485,99.7964977135,99.796497711,99.796497711,99.7964977135,99.7964977135,99.7964977135,150.6204347435,150.6204347415,150.6204347415,150.6204347415,176.1121895835,176.1121895835,176.1121895885,176.1121895885,176.1121895785,176.1121895785,176.1121895835,176.1121895985,221.3138687985,221.3138687975,221.3138687975,221.3138687985,221.3138687985,221.3138687985,221.3138687985,221.3138687985,247.8522861935,247.8522862085,247.8522862085,247.8522861935,247.8522861935,247.8522861935,401.000000008494,401.000000008494
"Polistes_fuscatus",118.4583721485,118.4583721435,118.4583721435,86.9613318635,86.9613318635,86.9613318675,86.9613318675,86.9613318675,17.97890069,0,26.8252155635,43.5911010485,43.5911010485,43.5911010485,99.7964977135,99.796497711,99.796497711,99.7964977135,99.7964977135,99.7964977135,150.6204347435,150.6204347415,150.6204347415,150.6204347415,176.1121895835,176.1121895835,176.1121895885,176.1121895885,176.1121895785,176.1121895785,176.1121895835,176.1121895985,221.3138687985,221.3138687975,221.3138687975,221.3138687985,221.3138687985,221.3138687985,221.3138687985,221.3138687985,247.8522861935,247.8522862085,247.8522862085,247.8522861935,247.8522861935,247.8522861935,401.000000008494,401.000000008494
