Species,Polistes_canadensis_canadensis,Polistes_fuscatus,Polistes_dominula,Vespa_crabro,Vespa_velutina,Vespula_pensylvanica,Osmia_bicornis_bicornis,Osmia_lignaria,Megachile_rotundata,Bombus_vancouverensis_nearcticus,Bombus_vosnesenskii,Formica_exsecta,Nylanderia_fulva,Camponotus_floridanus,Monomorium_pharaonis,Pogonomyrmex_barbatus,Ooceraea_biroi,Chelonus_insularis,Microplitis_demolitor,Aphidius_gifuensis,Neodiprion_fabricii,Neodiprion_virginiana,Diprion_similis,Athalia_rosae,Aethina_tumida,Tribolium_madens,Anoplophora_glabripennis,Diabrotica_virgifera_virgifera,Anthonomus_grandis_grandis,Dendroctonus_ponderosae,Platypus_cylindrus*,Agrilus_planipennis,Drosophila_mauritiana,Drosophila_simulans,Drosophila_melanogaster,Drosophila_erecta,Drosophila_yakuba,Drosophila_subpulchrella,Drosophila_pseudoobscura,Lucilia_cuprina,Cryptotermes_secundus,Zootermopsis_nevadensis,Blattella_germanica*,Schistocera_nitens,Schistocera_serialis,Schistocera_gregaria,Ischnura_elegans,Pantala_flavescens*
Polistes_canadensis_canadensis,0,-7.18806789,-12.28476663,-9.826739362,-9.826739362,-9.826739359,1.927332763,1.927332763,1.927332762,1.927332766,1.927332766,-1.469670775,-1.469670775,-1.469670782,-1.469670777,-1.469670777,-1.469670777,16.75642513,16.75642513,16.75642512,-7.676331361,-7.676331361,-7.676331362,-7.676331364,50.84013255,50.84013255,50.84013254,50.84013254,50.84013255,50.84013255,50.84013255,50.84013254,5.638453319,5.638453319,5.638453319,5.638453318,5.638453318,5.63845332,5.638453321,5.638453316,53.73437847,53.73437847,53.73437849,53.7343785,53.7343785,53.7343785,-9.00E-09,-9.00E-09
Polistes_fuscatus,-7.18806789,0,-12.28476663,-9.826739362,-9.826739362,-9.826739359,1.927332763,1.927332763,1.927332762,1.927332766,1.927332766,-1.469670775,-1.469670775,-1.469670782,-1.469670777,-1.469670777,-1.469670777,16.75642513,16.75642513,16.75642512,-7.676331361,-7.676331361,-7.676331362,-7.676331364,50.84013255,50.84013255,50.84013254,50.84013254,50.84013255,50.84013255,50.84013255,50.84013254,5.638453319,5.638453319,5.638453319,5.638453318,5.638453318,5.63845332,5.638453321,5.638453316,53.73437847,53.73437847,53.73437849,53.7343785,53.7343785,53.7343785,-9.00E-09,-9.00E-09
Polistes_dominula,-12.28476663,-12.28476663,0,-9.826739358,-9.826739358,-9.826739355,1.927332767,1.927332767,1.927332766,1.92733277,1.92733277,-1.46967077,-1.46967077,-1.469670778,-1.469670773,-1.469670773,-1.469670773,16.75642513,16.75642514,16.75642513,-7.676331357,-7.676331357,-7.676331358,-7.67633136,50.84013255,50.84013255,50.84013255,50.84013255,50.84013256,50.84013256,50.84013256,50.84013255,5.638453323,5.638453323,5.638453323,5.638453322,5.638453322,5.638453324,5.638453325,5.63845332,53.73437848,53.73437848,53.7343785,53.73437851,53.73437851,53.73437851,-5.00E-09,-5.00E-09
Vespa_crabro,-9.826739362,-9.826739362,-9.826739358,0,-8.952321545,-10.85943773,1.927332759,1.927332759,1.927332759,1.927332763,1.927332763,-1.469670778,-1.469670778,-1.469670785,-1.46967078,-1.46967078,-1.46967078,16.75642513,16.75642513,16.75642512,-7.676331365,-7.676331365,-7.676331366,-7.676331368,50.84013255,50.84013255,50.84013254,50.84013254,50.84013255,50.84013255,50.84013255,50.84013254,5.638453316,5.638453316,5.638453316,5.638453315,5.638453315,5.638453316,5.638453317,5.638453313,53.73437847,53.73437847,53.73437849,53.7343785,53.7343785,53.7343785,-1.25E-08,-1.25E-08
Vespa_velutina,-9.826739362,-9.826739362,-9.826739358,-8.952321545,0,-10.85943773,1.927332759,1.927332759,1.927332759,1.927332763,1.927332763,-1.469670778,-1.469670778,-1.469670785,-1.46967078,-1.46967078,-1.46967078,16.75642513,16.75642513,16.75642512,-7.676331365,-7.676331365,-7.676331366,-7.676331368,50.84013255,50.84013255,50.84013254,50.84013254,50.84013255,50.84013255,50.84013255,50.84013254,5.638453316,5.638453316,5.638453316,5.638453315,5.638453315,5.638453316,5.638453317,5.638453313,53.73437847,53.73437847,53.73437849,53.7343785,53.7343785,53.7343785,-1.25E-08,-1.25E-08
Vespula_pensylvanica,-9.826739359,-9.826739359,-9.826739355,-10.85943773,-10.85943773,0,1.927332762,1.927332762,1.927332761,1.927332765,1.927332765,-1.469670775,-1.469670775,-1.469670783,-1.469670778,-1.469670778,-1.469670778,16.75642513,16.75642513,16.75642512,-7.676331362,-7.676331362,-7.676331363,-7.676331365,50.84013255,50.84013255,50.84013254,50.84013254,50.84013255,50.84013255,50.84013255,50.84013254,5.638453318,5.638453318,5.638453318,5.638453317,5.638453317,5.638453319,5.63845332,5.638453315,53.73437847,53.73437847,53.73437849,53.7343785,53.7343785,53.7343785,-1.00E-08,-1.00E-08
Osmia_bicornis_bicornis,1.927332763,1.927332763,1.927332767,1.927332759,1.927332759,1.927332762,0,-1.291153349,-14.94890982,-1.917138163,-1.917138163,-1.469670774,-1.469670774,-1.469670781,-1.469670776,-1.469670776,-1.469670776,16.75642513,16.75642513,16.75642512,-7.67633136,-7.67633136,-7.676331361,-7.676331364,50.84013255,50.84013255,50.84013254,50.84013254,50.84013255,50.84013255,50.84013255,50.84013254,5.63845332,5.63845332,5.63845332,5.638453319,5.638453319,5.63845332,5.638453322,5.638453317,53.73437847,53.73437847,53.73437849,53.7343785,53.7343785,53.7343785,-8.50E-09,-8.50E-09
Osmia_lignaria,1.927332763,1.927332763,1.927332767,1.927332759,1.927332759,1.927332762,-1.291153349,0,-14.94890982,-1.917138163,-1.917138163,-1.469670774,-1.469670774,-1.469670781,-1.469670776,-1.469670776,-1.469670776,16.75642513,16.75642513,16.75642512,-7.67633136,-7.67633136,-7.676331361,-7.676331364,50.84013255,50.84013255,50.84013254,50.84013254,50.84013255,50.84013255,50.84013255,50.84013254,5.63845332,5.63845332,5.63845332,5.638453319,5.638453319,5.63845332,5.638453322,5.638453317,53.73437847,53.73437847,53.73437849,53.7343785,53.7343785,53.7343785,-8.50E-09,-8.50E-09
Megachile_rotundata,1.927332762,1.927332762,1.927332766,1.927332759,1.927332759,1.927332761,-14.94890982,-14.94890982,0,-1.917138164,-1.917138164,-1.469670774,-1.469670774,-1.469670782,-1.469670777,-1.469670777,-1.469670777,16.75642513,16.75642513,16.75642512,-7.676331361,-7.676331361,-7.676331362,-7.676331364,50.84013255,50.84013255,50.84013254,50.84013254,50.84013255,50.84013255,50.84013255,50.84013254,5.638453319,5.638453319,5.638453319,5.638453318,5.638453318,5.63845332,5.638453321,5.638453316,53.73437847,53.73437847,53.73437849,53.7343785,53.7343785,53.7343785,-9.00E-09,-9.00E-09
Bombus_vancouverensis_nearcticus,1.927332766,1.927332766,1.92733277,1.927332763,1.927332763,1.927332765,-1.917138163,-1.917138163,-1.917138164,0,-12.22362609,-1.46967077,-1.46967077,-1.469670777,-1.469670772,-1.469670772,-1.469670772,16.75642513,16.75642514,16.75642513,-7.676331357,-7.676331357,-7.676331358,-7.67633136,50.84013255,50.84013255,50.84013255,50.84013255,50.84013256,50.84013256,50.84013256,50.84013255,5.638453323,5.638453323,5.638453323,5.638453322,5.638453322,5.638453324,5.638453325,5.63845332,53.73437848,53.73437848,53.7343785,53.73437851,53.73437851,53.73437851,-4.85E-09,-4.85E-09
