,Drosophila_erecta,Drosophila_yakuba,Drosophila_sechellia,Drosophila_simulans,Drosophila_melanogaster,Drosophila_subpulchrella,Drosophila_pseudoobscura,Lucilia_cuprina,Aethina_tumida,Tribolium_madens,Anoplophora_glabripennis,Diabrotica_virgifera_virgifera,Anthonomus_grandis_grandis,Dendroctonus_ponderosae,Sitophilus_oryzae,Platypus_cylindrus*,Agrilus_planipennis,Photinus_pyralis,Aphidius_gifuensis,Chelonus_insularis,Cotesia_glomerata,Bombus_vancouverensis_nearcticus,Bombus_vosnesenskii,Megachile_rotundata,Osmia_bicornis_bicornis,Osmia_lignaria,Polistes_canadensis_canadensis,Polistes_fuscatus,Polistes_dominula,Vespa_mandarinia,Vespa_velutina,Vespula_pensylvanica,Camponotus_floridanus,Formica_exsecta,Nylanderia_fulva,Monomorium_pharaonis,Pogonomyrmex_barbatus,Ooceraea_biroi,Athalia_rosae,Diprion_similis,Neodiprion_fabricii,Neodiprion_virginiana,Neodiprion_lecontei,Blattella_germanica*,Cryptotermes_secundus,Zootermopsis_nevadensis,Schistocera_cancellata,Schistocera_gregaria,Schistocera_nitens,Schistocera_serialis,Ischnura_elegans,Pantala_flavescens*,Tanypteryx_hageni*
Drosophila_erecta,0,12.73586302,15.48531993,15.48531993,15.48531993,24.73453231,32.30680268,62.55441687,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,401,401,401
Drosophila_yakuba,12.73586302,0,15.48531993,15.48531993,15.48531993,24.73453231,32.30680268,62.55441687,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,401,401,401
Drosophila_sechellia,15.48531993,15.48531993,0,9.414533839,10.66595404,24.73453231,32.30680268,62.55441687,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,401,401,401
Drosophila_simulans,15.48531993,15.48531993,9.414533839,0,10.66595404,24.73453231,32.30680268,62.55441687,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,401,401,401
Drosophila_melanogaster,15.48531993,15.48531993,10.66595404,10.66595404,0,24.73453231,32.30680268,62.55441687,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,401,401,401
Drosophila_subpulchrella,24.73453231,24.73453231,24.73453231,24.73453231,24.73453231,0,32.30680268,62.55441687,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,401,401,401
Drosophila_pseudoobscura,32.30680268,32.30680268,32.30680268,32.30680268,32.30680268,32.30680268,0,62.55441688,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,401,401,401
Lucilia_cuprina,62.55441687,62.55441687,62.55441687,62.55441687,62.55441687,62.55441687,62.55441688,0,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,401,401,401
Aethina_tumida,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,0,56.78934736,64.86684159,64.8668416,64.8668416,64.8668416,64.8668416,64.8668416,102.51177,102.51177,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,401,401,401
Tribolium_madens,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,194.1378707,56.78934736,0,64.86684159,64.8668416,64.8668416,64.8668416,64.8668416,64.8668416,102.51177,102.51177,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,226.9523221,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,301.5866647,401,401,401
