Species
Zootermopsis nevadensis
Tenebrio molitor
Cylas formicarius
Photinus pyralis
Leptinotarsa decemlineata
Euwallacea similis
Dalotia coriaria
Zophobas morio
Euwallacea fornicatus
Diorhabda carinulata
Diorhabda sublineata
Anthonomus grandis grandis
Harmonia axyridis
Coccinella septempunctata
Tribolium madens
Sitophilus oryzae
Onthophagus taurus
Nicrophorus vespilloides
Anopheles gambiae
Drosophila virilis
Drosophila pseudoobscura
Anopheles funestus
Anastrepha obliqua
Anastrepha ludens
Rhagoletis pomonella
Ceratitis capitata
Aedes aegypti
Drosophila erecta
Lutzomyia longipalpis
Drosophila tropicalis
Eurosta solidaginis
Calliphora vicina
Ochlerotatus camptorhynchus
Drosophila montana
Culicoides brevitarsis
Armigeres subalbatus
Drosophila sulfurigaster albostrigata
Drosophila nasuta
Phlebotomus argentipes
Topomyia yanbarensis
Malaya genurostris
Anopheles ziemanni
Anopheles coustani
Anopheles bellator
Eupeodes corollae
Episyrphus balteatus
Phlebotomus papatasi
Toxorhynchites rutilus septentrionalis
Uranotaenia lowii
Wyeomyia smithii
Condylostylus longicornis
Sitodiplosis mosellana
Sabethes cyaneus
Anopheles nili
Anopheles marshallii
Drosophila gunungcola
Bactrocera neohumeralis
Anopheles aquasalis
Anopheles maculipalpis
Anopheles darlingi
Drosophila teissieri
Anopheles merus
Anopheles arabiensis
Bactrocera tryoni
Teleopsis dalmanni
Hermetia illucens
Glossina fuscipes
Lucilia sericata
Drosophila subpulchrella
Bradysia coprophila
Anopheles stephensi
Anopheles albimanus
Drosophila subobscura
Drosophila innubila
Drosophila mauritiana
Contarinia nasturtii
Drosophila novamexicana
Scaptodrosophila lebanonensis
Drosophila serrata
Drosophila arizonae
Rhagoletis zephyria
Culex quinquefasciatus
Drosophila guanche
Bactrocera latifrons
Cloeon dipterum
Neocloeon triangulifer
Planococcus citri
Homalodisca vitripennis
Daktulosphaira vitifoliae
Metopolophium dirhodum
Rhopalosiphum padi
Macrosteles quadrilineatus
Adelges cooleyi
Sipha flava
Melanaphis sacchari
Myzus persicae
Bemisia tabaci
Diuraphis noxia
Leptopilina boulardi
Leptopilina heterotoma
Bombus pascuorum
Cotesia glomerata
Megalopta genalis
Ooceraea biroi
Frieseomelitta varia
Megachile rotundata
Apis florea
Bombus impatiens
Prorops nasuta
Cataglyphis hispanica
Apis laboriosa
Diachasmimorpha longicaudata
Phymastichus coffea
Microplitis mediator
Hylaeus anthracinus
Hylaeus volcanicus
Bombus affinis
Bombus huntii
Diprion similis
Neodiprion pinetum
Neodiprion fabricii
Aphidius gifuensis
Vespula pensylvanica
Bombus pyrosoma
Polistes fuscatus
Colletes gigas
Osmia lignaria
Bombus vosnesenskii
Bombus bifarius
Bombus vancouverensis nearcticus
Odontomachus brunneus
Nomia melanderi
Formica exsecta
Nylanderia fulva
Pseudomyrmex gracilis
Cyphomyrmex costatus
Trachymyrmex cornetzi
Trachymyrmex septentrionalis
Trachymyrmex zeteki
Habropoda laboriosa
Eufriesea mexicana
Cephus cinctus
Dufourea novaeangliae
Polistes dominula
Polistes canadensis
Dinoponera quadriceps
Atta cephalotes
Vollenhovia emeryi
Wasmannia auropunctata
Pogonomyrmex barbatus
Ceratosolen solmsi marchal2..2105
Vespula vulgaris
Vespa velutina
Vespa mandarinia
Temnothorax curvispinosus
Atta colombica
Ostrinia furnacalis
Trichoplusia ni
Ostrinia nubilalis
Pararge aegeria
Battus philenor
Cydia splendana
Cydia strobilella
Cydia fagiglandana
Cydia amplana
Cydia pomonella
Achroia grisella
Leptidea sinapis
Nymphalis io
Pectinophora gossypiella
Leguminivora glycinivorella
Vanessa atalanta
Pieris napi
Helicoverpa zea
Vanessa cardui
Pieris brassicae
Colias croceus
Melitaea cinxia
Zerene cesonia
Bombyx mandarina
Hyposmocoma kahamanoa
Spodoptera litura
Chrysoperla carnea
Ischnura elegans
Schistocerca gregaria
Schistocerca serialis cubense
Schistocerca nitens
Schistocerca cancellata
Schistocerca piceifrons
Schistocerca americana
Bacillus rossius redtenbacheri
Ctenocephalides felis
Thrips palmi

Species (not found in NCBI taxonomy)
Bacillus rossius redtenbacheri (replaced with Bacillus rossius)
Acromyrmex echinatior (replaced with Acromyrmex octospinosus)
Cataglyphis hispanica (replaced with Cataglyphis)
Formica exsecta (replaced with Formica moki)
Dinoponera quadriceps (replaced with Dinoponera)
Odontomachus brunneus (replaced with Odontomachus clarus)
Colletes gigas (replaced with Colletes skinneri)
Megachile rotundata (replaced with Megachile pugnata)
Bombus pyrosoma (replaced with Bombus lapidarius)
Bombus bifarius (replaced with Pyrobombus)
Bombus huntii (replaced with Pyrobombus)
Bombus vosnesenskii (replaced with Pyrobombus)
Bombus impatiens (replaced with Pyrobombus)
Bombus affinis (replaced with Bombus)
