Nucleotide,Group,phyloP score
300,Ants,0
301,Ants,0.097
302,Ants,-0.024
303,Ants,-0.266
304,Ants,0.14
305,Ants,0.386
306,Ants,0.095
307,Ants,0.095
308,Ants,-0.667
309,Ants,0
310,Ants,0
311,Ants,1.012
312,Ants,0
313,Ants,0
314,Ants,-1.405
315,Ants,1.221
316,Ants,0.519
317,Ants,1.475
318,Ants,0
319,Ants,0
320,Ants,-0.998
321,Ants,-2.234
322,Ants,-1.444
323,Ants,-0.402
324,Ants,0
325,Ants,0.14
326,Ants,-0.309
327,Ants,-1.453
328,Ants,0.344
329,Ants,-1.353
330,Ants,-2.322
331,Ants,0.252
332,Ants,0.554
333,Ants,0.282
334,Ants,0.14
335,Ants,-0.328
336,Ants,-2.501
337,Ants,0.293
338,Ants,-0.346
339,Ants,-2.145
340,Ants,0.808
341,Ants,-0.043
342,Ants,-1.138
343,Ants,0.561
344,Ants,-0.639
345,Ants,0.141
346,Ants,0.14
347,Ants,-0.364
348,Ants,0.143
349,Ants,0.306
350,Ants,-0.156
351,Ants,0
352,Ants,0.338
353,Ants,-1.075
354,Ants,0.219
355,Ants,0
356,Ants,1.15
357,Ants,-1.809
358,Ants,0.285
359,Ants,-1.32
360,Ants,0
361,Ants,0
362,Ants,1.196
363,Ants,0
364,Ants,0
365,Ants,-0.8
366,Ants,-0.754
367,Ants,-2.311
368,Ants,-0.813
369,Ants,0.095
370,Ants,0.182
371,Ants,-1.546
372,Ants,0.366
373,Ants,0.095
374,Ants,-0.396
375,Ants,0.805
376,Ants,0
377,Ants,0.108
378,Ants,0
379,Ants,0
380,Ants,0.601
381,Ants,0
382,Ants,0
383,Ants,0.389
384,Ants,0.49
385,Ants,-1.817
386,Ants,0.823
387,Ants,0.399
388,Ants,0
389,Ants,-1.344
390,Ants,0
391,Ants,0
392,Ants,-0.687
393,Ants,0.504
394,Ants,0.523
395,Ants,-0.38
396,Ants,0
397,Ants,-4.44
398,Ants,-0.007
399,Ants,-3.274
400,Ants,0
300,Wasps,0
301,Wasps,0.047
302,Wasps,0.357
303,Wasps,0.218
304,Wasps,0.067
305,Wasps,0.172
306,Wasps,0.046
307,Wasps,0.046
308,Wasps,0.252
309,Wasps,0
310,Wasps,0
311,Wasps,-4.776
312,Wasps,0
313,Wasps,0
314,Wasps,-2.617
315,Wasps,-2.204
