"","x","y","group","y_ma"
"1",1,-0.326,"Solitary",-0.530461538461538
"2",2,-0.4,"Solitary",-0.518142857142857
"3",3,-0.15,"Solitary",-0.4836
"4",4,-0.09,"Solitary",-0.4624375
"5",5,-0.742,"Solitary",-0.474705882352941
"6",6,-0.243,"Solitary",-0.394666666666667
"7",7,-0.151,"Solitary",-0.358
"8",8,-0.656,"Solitary",-0.33495
"9",9,-1.109,"Solitary",-0.291714285714286
"10",10,-0.888,"Solitary",-0.271545454545455
"11",11,-1.091,"Solitary",-0.260826086956522
"12",12,-1.111,"Solitary",-0.259291666666667
"13",13,0.061,"Solitary",-0.2486
"14",14,-0.358,"Solitary",-0.23556
"15",15,0,"Solitary",-0.21956
"16",16,-0.145,"Solitary",-0.29232
"17",17,-0.671,"Solitary",-0.33316
"18",18,0.966,"Solitary",-0.33008
"19",19,0.302,"Solitary",-0.29932
"20",20,0.103,"Solitary",-0.31724
"21",21,0.573,"Solitary",-0.30312
"22",22,0.152,"Solitary",-0.28408
"23",23,-0.025,"Solitary",-0.27484
"24",24,-0.224,"Solitary",-0.27592
"25",25,0.008,"Solitary",-0.22816
"26",26,0,"Solitary",-0.2246
"27",27,0,"Solitary",-0.21028
"28",28,-1.969,"Solitary",-0.19276
"29",29,-1.111,"Solitary",-0.1852
"30",30,-0.665,"Solitary",-0.15836
"31",31,0.526,"Solitary",-0.16324
"32",32,-0.599,"Solitary",-0.21988
"33",33,-0.303,"Solitary",-0.2508
"34",34,-0.633,"Solitary",-0.26424
"35",35,-0.657,"Solitary",-0.27032
"36",36,-1.118,"Solitary",-0.26932
"37",37,0.083,"Solitary",-0.25632
"38",38,0.15,"Solitary",-0.25796
"39",39,0,"Solitary",-0.27116
"40",40,0.438,"Solitary",-0.2372
"41",41,0.044,"Solitary",-0.15844
"42",42,0,"Solitary",-0.15992
"43",43,0.844,"Solitary",-0.08748
"44",44,-1.114,"Solitary",-0.11832
"45",45,-0.67,"Solitary",-0.10436
"46",46,0.237,"Solitary",-0.09916
"47",47,0,"Solitary",-0.07384
"48",48,0,"Solitary",-0.091
"49",49,0.101,"Solitary",-0.04364
"50",50,-0.033,"Solitary",-0.1066
