"","x","y","group","y_ma"
"1",1,-0.084,"Sub Social",0.388461538461538
"2",2,0.735,"Sub Social",0.401857142857143
"3",3,0.405,"Sub Social",0.375066666666667
"4",4,0.565,"Sub Social",0.3803125
"5",5,-0.093,"Sub Social",0.369705882352941
"6",6,0.75,"Sub Social",0.299722222222222
"7",7,0.655,"Sub Social",0.282210526315789
"8",8,0.197,"Sub Social",0.27155
"9",9,0.305,"Sub Social",0.268380952380952
"10",10,0.62,"Sub Social",0.134090909090909
"11",11,0.3,"Sub Social",0.146391304347826
"12",12,0.305,"Sub Social",0.155958333333333
"13",13,0.39,"Sub Social",0.0998
"14",14,0.576,"Sub Social",0.10316
"15",15,0,"Sub Social",0.07376
"16",16,0.459,"Sub Social",0.0834
"17",17,0.2,"Sub Social",0.07272
"18",18,-0.89,"Sub Social",0.0844
"19",19,-0.033,"Sub Social",0.03624
"20",20,0.069,"Sub Social",0.03116
"21",21,0.205,"Sub Social",0.00116000000000002
"22",22,-2.686,"Sub Social",-0.01064
"23",23,0.417,"Sub Social",-0.02756
"24",24,0.376,"Sub Social",-0.02736
"25",25,-1.248,"Sub Social",-0.06224
"26",26,0,"Sub Social",-0.0894
"27",27,0,"Sub Social",-0.11244
"28",28,0.646,"Sub Social",-0.09284
"29",29,0.298,"Sub Social",-0.09024
"30",30,0.199,"Sub Social",-0.09824
"31",31,-0.454,"Sub Social",-0.02592
"32",32,0.528,"Sub Social",-0.0124
"33",33,-0.553,"Sub Social",-0.00712
"34",34,0.01,"Sub Social",-0.03876
"35",35,0.197,"Sub Social",0.06868
"36",36,0.305,"Sub Social",0.052
"37",37,-0.567,"Sub Social",0.07252
"38",38,-0.289,"Sub Social",0.13496
"39",39,0,"Sub Social",0.1516
"40",40,0.49,"Sub Social",0.12276
"41",41,0.524,"Sub Social",0.09692
"42",42,0,"Sub Social",0.0974
"43",43,0.918,"Sub Social",0.116
"44",44,0.305,"Sub Social",0.1564
"45",45,0.201,"Sub Social",0.15084
"46",46,-0.586,"Sub Social",0.2022
"47",47,0,"Sub Social",0.2018
"48",48,0,"Sub Social",0.206
"49",49,0.889,"Sub Social",0.2148
"50",50,0.313,"Sub Social",0.25308
"51",51,0.416,"Sub Social",0.27272
"52",52,-0.721,"Sub Social",0.28004
"53",53,0,"Sub Social",0.27644
"54",54,0.31,"Sub Social",0.26764
"55",55,0.664,"Sub Social",0.27124
"56",56,0.556,"Sub Social",0.23152
"57",57,0.389,"Sub Social",0.25272
"58",58,0.731,"Sub Social",0.19192
"59",59,0,"Sub Social",0.23144
"60",60,0.302,"Sub Social",0.24368
"61",61,0.525,"Sub Social",0.2476
"62",62,0.39,"Sub Social",0.22004
"63",63,0.202,"Sub Social",0.21556
"64",64,0.183,"Sub Social",0.20988
"65",65,0.4,"Sub Social",0.23872
"66",66,0.304,"Sub Social",0.25112
"67",67,0.09,"Sub Social",0.25792
"68",68,-0.075,"Sub Social",0.2488
"69",69,0.835,"Sub Social",0.25396
"70",70,-1.319,"Sub Social",0.2482
"71",71,0.402,"Sub Social",0.2312
"72",72,0.306,"Sub Social",0.2392
"73",73,0.098,"Sub Social",0.21576
"74",74,0.2,"Sub Social",0.1964
"75",75,0.201,"Sub Social",0.20116
"76",76,0.274,"Sub Social",0.19964
"77",77,0,"Sub Social",0.20044
"78",78,0.31,"Sub Social",0.19244
"79",79,0.48,"Sub Social",0.11112
"80",80,0.436,"Sub Social",0.11992
"81",81,0.685,"Sub Social",0.13544
"82",82,0.245,"Sub Social",0.09988
"83",83,0.306,"Sub Social",0.15264
"84",84,0.2,"Sub Social",0.149
"85",85,-0.284,"Sub Social",0.149
"86",86,0.041,"Sub Social",0.1482
"87",87,0.509,"Sub Social",0.1736
"88",88,0.164,"Sub Social",0.156
"89",89,0.203,"Sub Social",0.17768
"90",90,0.2,"Sub Social",0.1858
"91",91,-1.729,"Sub Social",0.1814
"92",92,0.31,"Sub Social",0.14684
"93",93,0.313,"Sub Social",0.1294
"94",94,-0.054,"Sub Social",0.102
"95",95,0,"Sub Social",0.08924
"96",96,0.311,"Sub Social",0.08932
"97",97,0.306,"Sub Social",0.08924
"98",98,0.078,"Sub Social",0.13652
"99",99,0.835,"Sub Social",0.15056
"100",100,-0.239,"Sub Social",0.1382
"101",101,0.816,"Sub Social",0.1262
"102",102,0.203,"Sub Social",0.13028
"103",103,0.2,"Sub Social",0.13828
"104",104,-0.384,"Sub Social",0.21532
"105",105,0,"Sub Social",0.22184
"106",106,0,"Sub Social",0.21724
"107",107,-0.074,"Sub Social",0.20388
"108",108,0.308,"Sub Social",0.22356
"109",109,0.198,"Sub Social",0.22316
"110",110,0.898,"Sub Social",0.21092
"111",111,0.392,"Sub Social",0.2078
"112",112,0.2,"Sub Social",0.1744
"113",113,-0.136,"Sub Social",0.18064
"114",114,0.305,"Sub Social",0.18368
"115",115,0.4,"Sub Social",0.20264
"116",116,0.197,"Sub Social",0.16036
"117",117,0.473,"Sub Social",0.18788
"118",118,0.198,"Sub Social",0.19576
"119",119,-0.388,"Sub Social",0.18248
"120",120,0.492,"Sub Social",0.19796
"121",121,0.301,"Sub Social",0.19352
"122",122,0,"Sub Social",0.1886
"123",123,0,"Sub Social",0.12912
"124",124,0,"Sub Social",0.13652
"125",125,-0.083,"Sub Social",0.128
"126",126,0.892,"Sub Social",0.14132
"127",127,0.677,"Sub Social",0.12912
"128",128,-0.857,"Sub Social",0.12344
"129",129,0.304,"Sub Social",0.11556
"130",130,0.197,"Sub Social",0.09664
"131",131,-0.332,"Sub Social",0.08924
"132",132,0.313,"Sub Social",0.11276
"133",133,0.197,"Sub Social",0.10588
"134",134,0.075,"Sub Social",0.05268
"135",135,-0.589,"Sub Social",0.06488
"136",136,0.577,"Sub Social",0.06488
"137",137,-0.013,"Sub Social",0.0804
"138",138,0.197,"Sub Social",0.09172
"139",139,0,"Sub Social",0.06856
"140",140,0.258,"Sub Social",-0.00399999999999999
"141",141,0,"Sub Social",0.03836
"142",142,0,"Sub Social",0.0342
"143",143,0.013,"Sub Social",0.05112
"144",144,0.2,"Sub Social",0.0644
"145",145,0.32,"Sub Social",0.0646
"146",146,-1.029,"Sub Social",0.08512
"147",147,0.305,"Sub Social",0.11888
"148",148,0,"Sub Social",0.14244
"149",149,0.388,"Sub Social",0.13552
"150",150,0.2,"Sub Social",0.16288
"151",151,0.313,"Sub Social",0.155
"152",152,-1.137,"Sub Social",0.155
"153",153,0.202,"Sub Social",0.14468
"154",154,0.2,"Sub Social",0.13724
"155",155,0.62,"Sub Social",0.13724
"156",156,0,"Sub Social",0.14476
"157",157,0.318,"Sub Social",0.0886400000000001
"158",158,0.71,"Sub Social",0.09172
"159",159,0.919,"Sub Social",0.14092
"160",160,0,"Sub Social",0.05812
"161",161,0.404,"Sub Social",0.06424
"162",162,0.671,"Sub Social",0.0612
"163",163,0,"Sub Social",0.1006
"164",164,0,"Sub Social",0.05988
"165",165,0,"Sub Social",0.12516
"166",166,-0.186,"Sub Social",0.0688
"167",167,0,"Sub Social",0.06888
"168",168,0.201,"Sub Social",-0.01524
"169",169,-1.203,"Sub Social",-0.02436
"170",170,0.397,"Sub Social",-0.03708
"171",171,0.201,"Sub Social",-0.05748
"172",172,-1.765,"Sub Social",-0.16868
"173",173,0.153,"Sub Social",-0.16868
"174",174,0.312,"Sub Social",-0.1726
"175",175,1.185,"Sub Social",-0.20348
"176",176,-0.705,"Sub Social",-0.19732
"177",177,0.495,"Sub Social",-0.19732
"178",178,-1.207,"Sub Social",-0.1896
"179",179,0.202,"Sub Social",-0.16976
