"","x","y","group","y_ma"
"1",1,0.525,"Eusocial",0.410923076923077
"2",2,0.469,"Eusocial",0.404214285714286
"3",3,0.395,"Eusocial",0.377266666666667
"4",4,0.946,"Eusocial",0.364625
"5",5,0.498,"Eusocial",0.350058823529412
"6",6,0.233,"Eusocial",0.340055555555556
"7",7,0.477,"Eusocial",0.288684210526316
"8",8,0.116,"Eusocial",0.2981
"9",9,0.17,"Eusocial",0.289619047619048
"10",10,0.559,"Eusocial",0.3265
"11",11,0.173,"Eusocial",0.328217391304348
"12",12,0.17,"Eusocial",0.331375
"13",13,0.611,"Eusocial",0.3486
"14",14,0.317,"Eusocial",0.3276
"15",15,0,"Eusocial",0.30884
"16",16,0.175,"Eusocial",0.31508
"17",17,0.117,"Eusocial",0.28424
"18",18,0.17,"Eusocial",0.269
"19",19,-0.636,"Eusocial",0.21152
"20",20,0.477,"Eusocial",0.20416
"21",21,0.12,"Eusocial",0.20808
"22",22,1.101,"Eusocial",0.20056
"23",23,0.366,"Eusocial",0.18284
"24",24,0.404,"Eusocial",0.18284
"25",25,0.762,"Eusocial",0.16396
"26",26,0,"Eusocial",0.15152
"27",27,0,"Eusocial",0.13884
"28",28,0.551,"Eusocial",0.09388
"29",29,0.175,"Eusocial",0.06952
"30",30,0.117,"Eusocial",0.06484
"31",31,-1.204,"Eusocial",0.00972
"32",32,0.293,"Eusocial",0.042
"33",33,0.214,"Eusocial",0.02748
"34",34,-0.018,"Eusocial",0.0136
"35",35,0.116,"Eusocial",-0.03044
"36",36,0.173,"Eusocial",-0.04508
"37",37,-0.302,"Eusocial",-0.06828
"38",38,0.3,"Eusocial",-0.0916
"39",39,0,"Eusocial",-0.08256
"40",40,-1.124,"Eusocial",-0.08132
"41",41,-0.434,"Eusocial",-0.10336
"42",42,0,"Eusocial",-0.10336
"43",43,-1.208,"Eusocial",-0.16256
"44",44,0.171,"Eusocial",-0.10252
"45",45,0.114,"Eusocial",-0.10712
"46",46,-0.227,"Eusocial",-0.08744
"47",47,0,"Eusocial",-0.08672
"48",48,0,"Eusocial",-0.08464
"49",49,-0.176,"Eusocial",-0.11304
"50",50,0.179,"Eusocial",-0.09236
"51",51,0.226,"Eusocial",-0.09964
"52",52,0.031,"Eusocial",-0.07668
"53",53,0,"Eusocial",-0.02268
"54",54,0.175,"Eusocial",0.00159999999999998
